fullname,address
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2121 ""Образовательный комплекс имени Маршала Советского Союза С.К.Куркоткина""","109386, г. Москва, ул. Ставропольская, дом 20"
"Муниципальное автономное общеобразовательное учреждение ""Гимназия имени Н.В. Пушкова""","142190, г. Троицк, ул. Школьная, 10"
Государственное бюджетное образовательное учреждение города Москвы центр образования № 1240,"123056, г. Москва, Большой Кондратьевский переулок, дом 3"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,"115582, г. Москва, Каширское ш., д.116, корп.3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 618""","124498, г. Москва, Зеленоград, корп. 429А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением отдельных предметов № 1239""","123001, г. Москва, Вспольный пер., д.6, стр.3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 843""","119602, г. Москва, Мичуринский просп., Олимпийская деревня, д.23 и д.23, стр.1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2000""","115522, г. Москва, ул.Кантемировская, д.22, корп.6"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1315""","125565, г. Москва, Конаковский проезд, д.5"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 630 ""лингвистический центр""","117105, г. Москва, Варшавское шоссе д.12."
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1741""","119602, г. Москва, ул.Никулинская, д.5"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 236 имени Героя Советского Союза Г.И.Щедрина""","125412, г. Москва, Шоссе Коровинское, дом 24 А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С.Гризодубовой""","125008, г. Москва, ул. Михалковская, д. 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1912 имени Бауыржана Момышулы""","124683, г. Москва, Зеленоград, корп. 1816"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1550""","125284, г. Москва, ул.Беговая, д.19"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением математики № 1360""","107564, г. Москва, ул. Краснобогатырская, д. 21А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 2033""","105425 Москва, Щёлковское шоссе, дом 26А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2110 ""Многопрофильный образовательный комплекс ""Марьино""","109651 Москва, Батайский проезд, дом 21"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1002""","119620 Москва, Солнцевский проспект, дом 12А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей №1586""","119330 Москва, улица Дружбы, дом 8"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением немецкого языка № 1269""","111401 Москва, 3-я Владимирская улица, дом 26А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 827""","125459 Москва, Туристская улица, дом 19, корпус 5"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1191""","125430 Москва, Митинская улица, дом 48, корпус 2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Центр образования № 1296""","127591 Москва, Керамический проезд, дом 55, корпус 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1440""","Адрес: 121609 Москва, Осенний бульвар, дом 10, корпус 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2045""","124365 Москва, , корпус 2031"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 717""","125171 Москва, улица Зои и Александра Космодемьянских, дом 4А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением отдельных предметов № 1794""","127540 Москва, Керамический проезд, дом 47А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1498 ""Московская международная школа""","119607 Москва, Мичуринский проспект, дом 23"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 41""","119027 Москва, Большая Внуковская улица, дом 4"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением экономики и информатики № 1355""","117623 Москва, Джанкойская улица, дом 7"
"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2087 ""Многопрофильный образовательный комплекс ""Открытие""","109369 Москва, улица Перерва, дом 44"
"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Образовательный центр ОАО ""Газпром""","117420 Москва, Новочерёмушкинская улица, дом 66"
"Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1702 ""Петровский кадетский корпус""","125413 Москва, Зеленоградская улица, дом 9"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1467""","119634 Москва, улица Шолохова, дом 9"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением французского языка № 1265""","119333 Москва, улица Фотиевой, дом 14, корпус 1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1257""","115093 Москва, Павловская улица, дом 8А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением математики № 1384 имени А.А. Леманского""","125252 Москва, Новопесчаная улица, дом 15"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Центр образования № 1601 имени Героя Советского Союза Е.К.Лютикова""","1270015, г. Москва, улица Вятская, 29"
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1590 имени Героя Советского Союза В.В.Колесника,"125502 Москва, Фестивальная улица, дом 69"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1577""","129337 Москва, Ярославское шоссе, дом 8, корпус 7"
"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Московский государственный университет путей сообщения""","127994, г. Москва, ул Образцова, д 9, стр. 9"
Частное учреждение средняя общеобразовательная школа «Славянско-англо- американская школа «Марина»,"119261 Москва, улица Панфёрова, дом 6, корпус 2"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1256 имени героя советского союза И.С.Полбина»,"109388 Москва, улица Полбина, дом 44"
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый московский образовательный комплекс»,"127282 Москва, улица Тихомирова, дом 10, корпус 1"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 771,"127411 Москва, улица Софьи Ковалевской, дом 8А"
Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1536,"119261 Москва, Ленинский проспект, дом 83А

"
"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И.Сац""","117186 Москва, Севастопольский проспект, дом 43А"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 90 «Многопрофильный образовательный комплекс» имени Героя Советского Союза Е.Г.Ларикова»,"125130 Москва, 4-й Новоподмосковный переулок, дом 2А"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 167 имени Маршала Л.А.Говорова,"125565 Москва, Ленинградское шоссе, дом 94А"
Частное образовательное учреждение средняя общеобразовательная школа «Ломоносовская школа»,"121357 Москва, Аминьевское шоссе, дом 18, корпус 4"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка №1383»,"127474 Москва, Дубнинская улица, дом 7"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 180,"127560 Москва, Конёнкова улица, дом 8А"
Государственное бюджетное образовательное учреждение города Москвы гимназия № 402 имени АлииМолдагуловой,"111538 Москва, Косинская улица, дом 10А"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1948 «Лингвист-м»,"117418 Москва, Новочерёмушкинская улица, дом 64, корпус 2

"
