id,result,year,school_id,subject_id
62056,40.63,2015,9619,1
62057,49.88,2015,9619,8
62058,51.25,2015,9619,5
62059,32.43,2015,9619,4
62060,69.19,2015,9620,2
62061,46.8,2015,9620,1
62062,55.96,2015,9620,8
62063,53.88,2015,9620,7
62064,69.2,2015,9620,6
62065,41,2015,9620,3
62066,50.1,2015,9620,9
62067,51.8,2015,9620,4
62068,68.27,2015,9621,2
62069,33,2015,9621,1
62070,52.7,2015,9621,8
62071,53.75,2015,9621,5
62072,48.2,2015,9621,7
62073,66.75,2015,9621,3
62074,48.83,2015,9621,4
62075,70.8,2015,9622,2
62076,44.87,2015,9622,1
62077,50.46,2015,9622,8
62078,46.69,2015,9622,7
62079,67.25,2015,9622,6
62080,56.86,2015,9622,9
62081,74.78,2015,9623,2
62082,56.06,2015,9623,1
62083,67,2015,9623,8
62084,60.86,2015,9623,7
62085,69.73,2015,9623,6
62086,67.38,2015,9623,9
62087,70.74,2015,9625,2
62088,56.22,2015,9625,1
62089,51.13,2015,9625,8
62090,50.33,2015,9625,4
62091,59.17,2015,9625,7
62092,77.65,2015,9626,2
62093,45.7,2015,9626,1
62094,58.15,2015,9626,8
62095,61.5,2015,9626,5
62096,59.33,2015,9626,7
62097,70,2015,9626,6
62098,59.6,2015,9626,9
62099,48.5,2015,9626,4
62100,61.55,2015,9627,2
62101,45.73,2015,9627,1
62102,48.7,2015,9627,8
62103,49.25,2015,9627,7
62104,53.3,2015,9627,9
62105,63.96,2015,9628,2
62106,42.82,2015,9628,1
62107,47.75,2015,9628,8
62108,44,2015,9628,9
62109,80.93,2015,9629,2
62110,50.24,2015,9629,1
62111,64.31,2015,9629,8
62112,64.57,2015,9629,7
62113,57.93,2015,9630,2
62114,54.33,2015,9630,1
62115,75.83,2015,9631,2
62116,55,2015,9631,1
62117,56.88,2015,9631,8
62118,67.4,2015,9631,5
62119,62.81,2015,9631,7
62120,71.59,2015,9631,6
62121,55.2,2015,9631,11
62122,74.43,2015,9631,3
62123,68.43,2015,9631,9
62124,54.1,2015,9631,4
62125,70.73,2015,9632,2
62126,54.08,2015,9632,1
62127,56.04,2015,9632,8
62128,52.86,2015,9632,7
62129,44,2015,9632,9
62130,76.23,2015,9633,2
62131,44.25,2015,9633,1
62132,55.02,2015,9633,8
62133,59,2015,9633,5
62134,58.69,2015,9633,7
62135,64.11,2015,9633,6
62136,55.88,2015,9633,11
62137,63.29,2015,9633,3
62138,58.62,2015,9633,9
62139,47.69,2015,9633,4
62140,60.5,2015,9634,2
62141,35.95,2015,9634,1
