LegalAddress,FullName,ShortName
"127549, г. Москва, ул.Бибиревская, д.6, корп.1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж имени П.А. Овчинникова»,ГБПОУ ПК им. П.А. Овчинникова
"117149, г. Москва, улица Азовская, дом 2, корпус 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1279»,ГБОУ школа № 1279
"115583, г. Москва, Елецкая улица, дом 12 корпус3",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»,ГБОУ «Гимназия № 1636 «НИКА»
"115573, г. Москва, ул. Мусы Джалиля, дом 36 корпус 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1569 «Созвездие»,ГБОУ гимназия № 1569 «Созвездие»
"107207, г. Москва, ул. Алтайская , д.10А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1078»,ГБОУ школа № 1078
"109469, г. Москва, ул. Белореченская, д. 36, корп. 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1987 многопрофильный образовательный комплекс»,ГБОУ школа № 1987
"127349, г. Москва, Шенкурский проезд, дом 15",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 953»,ГБОУ школа № 953
"127427, г. Москва, ул. Большая Марфинская, д. 1, корп. 5",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»,ГБОУ школа № 1494
"129347, г. Москва, ул. Проходчиков, д.9",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей информационных технологий № 1537»,ГБОУ лицей № 1537
"115582, г. Москва, ул. Домодедовская, д.24, корп. 7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1207»,ГБОУ школа № 1207
"105187, г. Москва, улица Лечебная, дом 20",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1362»,ГБОУ школа № 1362
"117628, г. Москва, ул. Старокачаловская, владение 22",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1945 «Синяя птица»,ГБОУ школа № 1945
"115142, г. Москва, Коломенская наб., д.16",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 514»,ГБОУ «Школа № 514»
"123308, г. Москва, ул. Мневники, д. 4",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж малого бизнеса № 48»,ГБПОУ КМБ № 48
"111555, г. Москва, улица Сталеваров, дом 10 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1504»,ГБОУ гимназия № 1504
"125171, г. Москва, ул. 3-я Радиаторская, д.8А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,ГБОУ школа № 2099
"117463, г. Москва, Новоясеневский проспект, д.38, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1561»,ГБОУ лицей № 1561
"115404, г. Москва, ул. Элеваторная, д. 4, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 508»,ГБОУ школа № 508
"121309, г. Москва, ул. Б.Филевская, д.15",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 72»,ГБОУ школа № 72
"117041, г. Москва, улица Академика Понтрягина, дом 17, корпус 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением информационных технологий № 1368»,ГБОУ школа № 1368
"124617, г. Москва, Зеленоград, корп. 1469",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1151»,ГБОУ школа № 1151
